שם מפלגה,מטרות
הישראלים,מטרות המפלגה :1.קביעת שיטת הבחירה לכנסת המבוססת על בחירת רוב חברי הכנסת בשיטת בחירות אזורית ומיעוטם באמצעות שקלול קולות הבוחרים בשיטה ארצית יחסית. באופן שיאלץ את הנבחר לתת דין וחשבון לבוחריו באופן שוטף וישיר. 2.קביעת שיטת ממשל המבוססת על ממשלה יציבה ומצומצמת בה רוב השרים המכהנים הם אנשי מקצוע בתחומים עליהם הם ממונים ואינם בהכרח חברי כנסת. 3.הליך לגיבוש חוקה באמצעות ועדה מכוננת תוך קיום דיון ציבורי ואישורה הסופי במשאל עם. 4.לפחות מחצית מנציגי המפלגה בכנסת יהיו נשים. 5.פוליטיקה אינה מקצוע אלא שליחות. לכן תפורק המפלגה לכשיגיעו יעדיה לכלל מימוש.
הכלכלית החדשה,מטרות המפלגה: ביצור חוסנה הכלכלי של ישראל כדי להבטיח את חוסנה הביטחוני לאורך זמן.רפורמה מקיפה במשק הישראלי המושתתת על התכנית הכלכלית שגיבש יור המפלגה.חתירה לצמיחה מהירה של המשק. שיפור עקבי ברמת החיים והקטנת רמת אי השוויון.הפחתת מיסים לשכירים. עסקים קטנים וצרכים וביטול הטבות המס לחברות ענק.התייעלות בשירות הציבורי. לרבות קביעת יעדים ומדדים וקשר בין סמכות לאחריות.פירוק מונופולים במשק וריסון קבוצות הלחץ לשם הורדת יוקר המחיה ומחירי הדיור.מאבק נחוש להשבת הערכים הדמוקרטיים כמו גם האיזון הראוי בין הרשויות.מאבק ללא פשרות בתופעת יחסי הון-שלטון ובשחיתות השלטונית.תיקון תוצאות הניהול הכושל של משבר הקורונה בידי הממשלה.השבת השליטה במשאבי הטבע מידי מעטים לידי הציבור.השבת האמון של הציבור במנהיגות הכלכלית.
הליכוד – תנועה לאומית ליברלית,מטרות המפלגה :ריכוז העם היהודי בארץ-ישראל. קיבוץ גלויותיו ומיזוגו במולדת. טיפוח האהבה לארץ ישראל בלב העם וההכרה באחדות הגורל של בני העם היהודי.שמירת זכותו של העם היהודי על ארץ-ישראל כזכות נצחית שאינה ניתנת לערעור. התמדה ביישובם ובפיתוחם של כל חלקי ארץ-ישראל והחלת ריבונות המדינה עליהם.קיום ריבונות המדינה ובטחונה ושלום אמת עם שכנינו.השרשת ערכיה הנצחיים של מסורת ישראל בחינוך ובחיי המדינה. שמירת ערכי המוסר וטוהר המידות והקמת חברת איכות בארץ ישראל.קיום משטר ממלכתי-דמוקרטי במדינה: הבטחת עליונות החוק. זכויות האדם והאזרח. חופש מצפון. חרות הפרט. שיוויון זכויות והזדמנות כל אזרחי המדינה ומניעת כל אפלייה על רקע מין. גזע. עדה. דת. מעמד או השקפה.שילוב אוכלוסיית המיעוטים במערכות המדינה והתנועה.ביצורה הכלכלי של המדינה ויצירת תנאים נאותים לצמיחה כלכלית ולכינון משק חופשיתחרותי הנושא את עצמו והמבוסס שח יוזמה חופשית. והימנעות הממשלה. ככל הניתן. ממעורבות במשק.טיפוח וקידום ערי הפיתוח ושכונות המצוקה.אחריות ממלכתית לרמה סבירה של ביטחון הפרט. חינוך. בריאות. תעסוקה ואיכות הסביבה.
המחנה למען אזרחים ותיקי ישראל,א. מהפך דרמטי במצבם ובמעמדם הכלכלי של האזרחים הוותיקים בישראלב. הגדלת קצבת האזרח הוותיק ל- 10.000 ₪ לחודש לפחותג. הכללת מלוא עלויות (100%) הטיפולים הסיעודיים בסל התרופותד. פטור מתשלום על תרופות לגילאי 67 ומעלה
המפלגה הלאומית הערבית (אל חיזב אל קאומי אל ערבי),מטרות המפלגה :1.לפעול ולהיאבק בכל הדרכים החוקיים והדמוקרטים למען השגת שיוויון מלא בכל תחומי החיים לאוכלוסיה הערבית במדינת ישראל.2.קידום והעמקת השלום ודו-הקיום בין האוכלוסיה הערבית והעם במדינת ישראל.3.לפעול לקידום השלום בין מדינת ישראל לבין הרשפ ובין מדינת ישראל לבין שכנותיה הערביות.4.לפעול למען חקיקת חוקה למדינת ישראל שתבטיח ותעגן זכויות האדם והאזרח הערבי במדינה.5.לפעול ולהיאבק בכל הדרכים החוקיים והדמוקרטיים למען ביסוס והעמקת זכויות האדם והאזרח ושמירתם במדינת ישראל.6.להיאבק בכל הדרכים החוקיים והדמוקרטיים נגד ההפליה מכל סוגיה והגזענות והאלימות על כל צורותיהם.7.לפעול בכל הדרכים החוקיים והדמוקרטיים לשמירת זכויות הקטינים. הנשים. הנכים וחסרי היכולת.8.לעודד את ההשכלה הגבוהה במגזר הערבי.9.השמירה על המקומות הקדושים ובמיוחד העברת השליטה על הוקף המוסלמי לידי נציגות מוסלמית נבחרת עי אזרחי ישראל המוסלמים.
המפלגה הקומוניסטית הישראלית,מטרות המפלגה :1.לפעול למען שלום ישראלי – ערבי צודק. כולל ויציב. שבמרכזו שלום ישראלי-לפסטיני על בסיס של שתי מדינות לשני עמים.2.לפעול למען מעמד הפועלים. כלל העובדים והשכבות העממיות בישראל. לפעול למען העלאת רמת החיים ולפיתוח הארץ לטובת כל תושביה היהודים והערבים.3.לפעול להבטחת עצמאותה המדינית וכלכלית של ישראל.4.להיאבק לשוויון זכויות אזרחי ולאומי של האוכלוסיה הערבית בישראל. להיאבק נגד כל תופעה של גזענות ולאומנות. להגנת זכויות האדם. להגנת החירויות הדמוקרטיות. לשוויון זכויות עדתי.5.להיאבק לשוויון זכויות האשה. להבטחת חופש המצפון ולביטוח כל צורה של כפיה דתית.6.לפעול לכינון חברה סוציאליסטית בישראל.
הסתדרות אגודת ישראל בארץ ישראל,מטרת המפלגה :לפתור ברוח התורה והמסורה את כל השאלות אשר תעלינה יום יום על הפרק בחיי כלל ישראל. בשאיפה לאחד את עם ישראל בארץ ישראל תחת שלטון התורה ולהשליט את התורה על החיים הרוחניים. הכלכליים. האזרחים והמדיניים בארץ ישראל.
העצמאים החדשים - כוח חזק,מטרות המפלגה הן:א. דמי קיום – חקיקת רשת ביטחון סוציאלית לעצמאים.ב. תיקוני חקיקה במוסד לביטוח לאומי בנוגע לזכויות בסיסיות לעצמאים ורפורמה ברשות המיסים.ג. הקלה ברגולציה לעסקים קטנים מול מוסדות השלטון.ד. הקמת מערך משפטי ללא עלות עי המדינה לסיוע לעסקים קטנים מול מוסדות השלטון.ה. צמצום הפערים החברתיים.ו. מהלכים למאבק ביוקר המחייה.ז. ביטול הדרישה להחזרי המענקים שניתנו ביתר בתקופת הקורונה.
הפיראטים,מטרות המפלגה :1.חופש הביטוי. המידע. הפרט. התנועה. ההפלגה וההעתקה2.צדק חברתי. רפואי. חינוכי ומקוון3.פיתוח וקידום המגזר הפיראטי
הציונות החדשה – מפלגת העם,מטרות המפלגה : עצמאות כלכלית ומדינית לישראלבטחון ופרנסה לכל משק ביתחיים בכבוד לניצולי השואה וצאצאיהם. 
התנועה,תאריך רישום:  ה באלול תשעד. 31 באוגוסט 2014מטרות המפלגה הן:1. המפלגה הנה מפלגה הפועלת להגן ולשמור על ערכיה של מדינת ישראל. כמדינת הלאום של העם היהודי. כמדינה יהודית ודמוקרטית .בצורה מאזנת ומשלבת בין ערכיה אלה .2. המפלגה תפעל לקידום וחיזוק הסכמי השלום הקיימים עם שכנותיה.3. המפלגה תפעל לקידום פתרון הסכסוך הישראלי- פלשתיני במתווה של שתי מדינות לשני עמים תוך שמירה על האינטרסים הלאומיים והביטחוניים של מדינת ישראל.4. המפלגה תפעל לצמצום הפערים בחברה הישראלית תוך שינוי סדרי עדיפויות בתחומי החינוך. הרווחה. הכלכלה. הדיור וביטחון הפנים.5. המפלגה תפעל למען חלוקה צודקת של הנטל בחברה הישראלית לרבות חתירה לעבר חברה שוויונית וצודקת יותר בנושאי דת. מדינה ומגדר.6. המפלגה תגן על הזכויות האזרחיות לרבות חופש הפרט.
התנועה הערבית להתחדשות,מטרות המפלגה :1.המשך התמיכה בתהליך השלום הישראלי-פלסטיני בכדי להקים מדינה פלסטינית עצמאית לצד מדינת ישראל בגבולות יוני 1967 ובירתה מזרח ירושלים וכן פתרון בעיית הפליטים באופן צודק עפ החלטות מועצת הבטחון. במסלול הישראלי-סורי לדרוש ולהאבק למען נסיגה מלאה מרמת הגולן וחתימת הסכם שלום עם סוריה וכן נסיגה מלאה מדרום לבנון וחתימת הסכם שלום עם לבנון בכדי להגיע לשלום כולל ובר קיימא באזור.2.העלאת ושינוי המעמד החוקי והאזרחי של האזרח הערבי בישראל וצמצום הפערים בין הסקטור היהודי והערבי עי מדיניות העדפה מתקנת בכל התחומים ובכדי להגיע לשיוויון אמיתי בין המגזר הערבי והיהודי בכל תחומי החיים.3.שחרור הווקף האיסלמי וניהולו באופן עמצאי עי ועד נבחר עי המוסלמים.4.להאבק למען ביטול מס רכוש. הכרה בכפרים הלא מוכרים והחזרת עקורי אקרת וברעם לכפריהם עפ החלטת בגץ.5.טיפול בבעיות ומציאת פתרונות לבעיות האזרחים הערביים בנגב ובערים המעורבות.6.להשתתף באופן פעיל בתהליך קבלת ההחלטות במדינה. להשפיע ולקחת חלק בתהליך קבלת ההחלטות ועיצוב המדיניות.7.העלאת מעמד האשה הערביה בכל התחומים עי מדיניות של העדפה מתקנת.
התקווה – מפלגה ציונית לאומית,מטרות המפלגה :1.שמירת שלמותה של ארץ ישראל תחת שלטון העם היהודי. 2.נקיטת כל הצעדים המתחייבים מהצורך לבצר ולממש את זכותו של העם היהודי להתיישב בכל חלקי ארץ ישראל. 3מניעת הקמתה של כל ישות פוליטית – אוטונומית או ריבונית זרה בארץ ישראל המערבית. 4.לפעול למען יישובם מחדש של הפליטים הערבים בארצות ערב וארצות קולטות הגירה. 5.להתנות אזרחות בישראל בהצהרת אמונים למדינה כמדינתו של העם היהודי.6.לפעול למען כינון חוקה שתבטיח את אופייה היהודי-ציוני של מדינת ישראל.7.לפעול למען חיזוק הדמוקרטיה בישראל. חיזוק הכנסת כמוסד מחוקק ומפקח על פעולות הממשלה. 8.לקבוע מערכת איזונים ובלמים חדשה בין הרשות המחוקקת והרשות השופטת ומנגנון חדש בחירת שופטים.9.להיאבק בשחיתות על כל גילוייה בממשל בישראל. ושלטון האליטות על העם. 10.להגביל את התערבות המדינה בחיי האזרחים ורמיסת זכויות הפרט בידי הממשל.11.לספק שוויון הזדמנויות מלא לכל חלקי החברה בישראל.12.לפעול למען ליברליזציה של המשק בישראל. חיסול המונופולים הגלויים והסמויים.עידוד היוזמה הפרטית והעסקית על ידי מאבק בחסמים ביורוקראטיים.13.לפעול להורדת המיסוי בישראל ולקיצוץ בהוצאות הממשלה על ידי צמצום משמעותי של המגזר הציבורי.14.לפעול לארגונו מחדש של צהל ולתווית דרכו הציונית והמוסרית על ידי ניסוח הקוד האתי של צהל מחדש.15.לפעול ליצירת גשרים בין דתיים וחילוניים באורח של מיסודה של האמנה החברתית בניהם ועיגונה בהליכי חקיקה מתאימים.16.לפעול למען הגדלת השקעות המדינה במדע וטכנולוגיה.17.לפעול לחידוש התודעה הציונית. חיזוק הזהות הלאומית והדמוקראטית וחינוך לערכי היהדות ומורשת היהדות בקרב כל שכבות העם.18.לפעול להקמתם ולחיזוקם של ערוצי תקשורת מאוזנים שיבטאו כראוי את מגוון הדעות בציבוריות הישראלית.
זהות - תנועה ישראלית יהודית,מטרות המפלגה:1. מדינה יהודית -  מדינה החותרת למימוש הזהות והייעוד היהודי. וקיבוץ עם ישראל לארצו. מדינה העוברת מציונות של קיום. לציונות של ייעוד – מתודעת השרידות. לתודעה ואתגר של תיקון עולם.2. מדינת חירות  -  מדינה המשיבה את מירב החירות והאחריות לאזרח בכל התחומים ומצמצמת למינימום את מעורבותה בחיי הפרט. תחומי התערבותה של המדינה יוגבלו ככל הניתן למערכות המשפט. הביטחון והתשתיות הלאומיות.3. מדינת המשפחה והקהילה  - מדינה המבצרת את ערכי המשפחה ומעודדת את בניין הקהילה כאבני יסוד בבניין החברה.4.  מדינת שפע – מדינה המקיימת כלכלה חופשית בתוך המסגרת המרסנת והמעדנת של תרבות החסד והערבות ההדדית של עם ישראל.5. מדינה ריבונית -  מדינה המממשת ומבצרת את ריבונותה בכל חלקי ארץ ישראל שבשליטתה. ובראשם בירושלים והר הבית. מדינה המפתחת את ירושלים כמרכז מדיני ורוחני. לעם ישראל ולאנושות.6. מדינת שלום – מדינה החותרת לסיום מצב הלחימה ושפיכות הדמים באמצעות ניצחון על אויביה. מדינה הפועלת לטובת האנושות והעולם.
זכויותנו בקולנו,מטרות המפלגה:א. השוואת השכר. התנאים והפנסיה של שוטרים וסוהרים למשרתי הקבע בצהל.ב. חופש התאגדות לשוטרים וסוהרים.ג. העצמת מערכת המשפט וגופי האכיפה.ד. טיפול ומתן יחס הולם לנפגעי עבירה.ה. שיפור הטיפול בקשישים ונכים.
חוסן ישראל,מטרות המפלגה: המשך ביסוס וחיזוק מדינת ישראל כמדינה יהודית ודמוקרטית לאור החזון הציוני כפי שבא לידי ביטוי במגילת העצמאות תוך קביעת ושינוי סדר העדיפויות הלאומי בנושאים הבאים: חינוך. פיתוח תשתיות לאומיות. חקלאות. חוק משפט ובטחון פנים. מדיניות רווחה. שלום ובטחון.
חופש,1. לקדם את הדמוקרטיה בישראל. להגן על מוסדותיה ולבער את השחיתות.2. לקדם חינוך איכותי. השכלה גבוהה. מדעים. תרבות ואומנויות.3. ביסוס ישראל כמדינה ליברלית וחופשית מכפיה דתית.
חזית יהודית לאומית,nan
חירות – תנועה לאומית,מטרות המפלגה :1.ארץ ישראל היא מולדתו של העם היהודי. בית לשבי ציון. המדינה תעודד עלייה וקליטתה ותפעל חיזוק החינוך היהודי בתפוצות. המדינה תעודד התיישבות יהודית בכל שטחי מדינת ישראל וארץ-ישראל. ירושלים. בירת הנצח. לא תחולק עוד.2.זכות העם היהודי על ארץ ישראל משולבת לבלי הפרד בזכות לשלום ולביטחון. לא יימסר שטח בארץ ישראל. לרבות ברמת הגולן לשלטון זר. המדינה תשאף להשיג הסכמי שלום עם כל שכנינו אך ךא על חשבון בטחון המדינה ותושביה.3.המדינה תקדם את השרשת ערכיה הנצחיים של תורת ישראל בחיי האומה.4.המדינה תגן על מהותה הדמוקרטית ותשמור על שיוויון זכויות לכל אזרחיה ותושביה תוך הקפדה על שלטון החוק. תכובד אי-תלות הרשות השופטת.5.תימשך חקיקת חוקי היסוד והרחבת זכויות האדם המוגנות על ידם. אך נושאי דת לא יכללו בהם אלא בהסכמה רחבה.6.אין כלכלה מתקדמת בלי צדק חברתי. המדינה תפעל להקטנת האבטלה והגברת התחרות במשק. המדינה תפעל לחיזוק השכבות החלשות וצמצום הפערים. המדינה תפעל ליישום זכותו של כל אדם למיצוי יכולתו וכשרונותיו ותעשה לעידוד אפשרויות ההשכלה לכל מיגזרי האוכלוסיה.
חץ - המפלגה החילונית הציונית,מטרות המפלגה :1.לפעול להגברת תודעת העליה בישראל וליצירת אחדות בעם אודות נחיצותה. חיוניותה ותרומתה למשק ולחברה.2.לפעול ליצירת תנאים הולמים לקליטה מוצלחת בתחומי התעסוקה. הדיור. החינוך. הרווחה והחברה. תוך ניצול הפוטנציאל האינטלקטואלי. הטכנולוגי והמקצועי האדיר של העולים.3.לפעול לשילובם ולקידומם של נציגי העולים בממשלה. בכנסת. בהסתדרות. ברשויות המקומיות. בחברות הממשלתיות והציבוריות ובכל מוסדות המימשל של ישראל.4.לפעול להגברת החינוך היהודי בתפוצות להבטחת הזיקה לעם ישראל. למדינת ישראל. לתרבות ולדת היהודית.5.לפעול להשגת שלום בין ישראל לבין שכנותיה והעולם הערבי כולו. תוך שמירה על ביטחון המדינה ועל אינטרסיה החיוניים.
יחד – בראשות אלי ישי,  מטרות המפלגה: 1.   המפלגה רואה את חשיבות ערכיה המסורתיים והיהודיים של היהדות בישראל.2.   המפלגה רואה את אהבת התורה. המדינה והארץ ערך מרכזי ועליון.3.   המפלגה תנהג על פי אמות מידה חברתיות ותשאף לצדק וטוהר ערכי.4.   המפלגה תפעל לאיחוד כל הזרמים בחברה הישראלית. לשם חיזוק הבטחון והרווחה של המדינה ולשם חיזוק ערכי היהדות.5.   המפלגה תפעל לחיזוק הקשרים של העם היהודי בעולם עם מדינת ישראל.
ייצוג שווה,מטרות המפלגת :1.ייצוג שווה שכר שווה והזדמנויות שוות לנשים.2.ייצוג שווה בתהליכים המובילים לשלום ולמחויבות לקדמו.3.הצבת החינוך בראש סדר העדיפויות במטרה ליצור חברה שויונית וערכית.
ימין ישראל,מטרות המפלגה :1.ישראל עם סגולה. העם היהודי כולו. לעדותיו. לדעותיו. למקומות מושבו ולדורותיו. עם אחד הוא.2.ארץ ישראל כולה של עם ישראל ושלו בלבד. ואין היא ניתנת לחלוקה.3.מורשת ישראל האמונית. המשפטית. התרבותית וההיסטורית אחת היא. ומתורת ישראל שואב עם ישראל את אחדותו וחיותו.4.מדינת ישראל היא מדינתו של עם ישראל. המדינה היהודית-ציונית. אשר תכליתה קיבוץ גלויות וחידוש הממלכתיות היהודית בארץ ישראל.5.החוקה והמשפט של מדינת ישראל יושתתו על המשפט העברי.6.הר הבית הוא ליבו של עם ישראל וכינון בית מקדשנו הוא יעד לאומי ראשון במעלה.
ימין ליברל,א. מאבק לשמירה על אופייה הדמוקרטי. הלאומי והליברלי של מדינת ישראל - הבטחת עליונות שלטון החוק. כיבוד זכויות האדם והאזרח. כיבוד חירויות הפרט. ומאבק לשוויון זכויות. חובות והזדמנויות. לכל אזרחי המדינה ומניעת אפליה על רקע מין. נטייה מינית. גזע. עדה. דת ומעמד.ב. חתירה בלתי מתפשרת לביטחון מדינת ישראל ולשמירת שלמות גבולותיה. תוך ניסיון להגעה להסדרים מדיניים עם שכנותיה של המדינה ותוך מאבק בלתי מתפשר בטרור ויצירת קיר ברזל בטחוני.  ג. קידום חוקה למדינת ישראל.ד. קידום תיקונים בשיטת הבחירות והממשל על מנת לחזק ולבצר את משטרה הדמוקרטי והליברלי של מדינת ישראל.ה. הנחלת ערכים של שלטון החוק. טוהר המידות. שקיפות. יושרה. ניקיון כפיים ואתיקה במנגנוני השלטון המרכזי. השלטון המקומי ובשירות הציבורי. כמו גם מאבק בלתי מתפשר בשחיתות השלטונית הרווחת במדינת ישראל. ו. מאבק בלתי מתפשר בקשרי הון-שלטון. בפשע המאורגן. בהון השחור ובאלימות בכל מגזרי החברה. ז. קידום התחרות בשוק ובמשק תוך כדי מאבק בריכוזיות. במונופולים והורדת יוקר המחייה.ח. קידום משק ושוק חופשי. אשר יעודדו צמיחה כלכלית. משק תחרותי והגברת הפיריון. לצד רגישות חברתית והבטחת רשת ביטחון לחלשים בחברה. אשר תבטיח לכל אזרחי ישראל מינימום של חיים בכבוד. ט. מאבק למען שוויון זכויות וחובות בין כל אזרחי ישראל לרבות בנשיאה בנטל השירות הצבאי. תשלום המיסים ופריון בשוק העבודה. תוך קידום של שירות שוויוני לכל אזרחי המדינה ותושביה. בין אם  בשירות צבאי ובין אם בשירות אזרחי.י. מאבק למען אחריות ממלכתית לביטחון הפרט ולפרטיותו. לבריאות. לחינוך. לתחבורה ולאיכות סביבה.
יעוד – ישראל עצמאית ודמוקרטית,מטרות המפלגה :1.ריכוז העם היהודי בארץ ישראל. טיפוח אהבת ארץ ישראל.2.שמירת זכותו של העם היהודי על ארץ ישראל. זכות נצחית שאינה ניתנת לערעור. התמדה ביישובם ובפיתוחם של כל חלקי הארץ.3.קיום ריבונות המדינה ובטחונה.4.השרשת ערכיה הנצחיים של מסורת ארץ ישראל בחינוך ובחיי המדינה. שמירת ערכי המוסר וטוהר המידות והקמת חברת איכות בארץ ישראל.5.קיום משטר ממלכתי ממלכתי-דמוקרטי במדינה. הבטחת עליונות החוק. האדם והאזרח. חופש המצפון. חרות הפרט. שיוויון זכויות והזדמנות לכל אזרחי המדינה ומניעת אפליה על כל רקע מין. גזע. עדה. דת. מעמד או השקפה. הפרדת הדת מהמדינה.
יש כיוון בראשות עמוס דב סילבר,א. הסדרה מלאה של שוק הקנאביס בישראל.ב. העצמת חופש הפרט על-ידי הטמעת ערכי כבוד האדם וחירותו בחוק הישראלי.ג. הורדת יוקר המחיה ובדיור בפרט.ד. הגברת הביטחון האישי. הן מצד אויבים מבחוץ. הן בין האזרחים לבין עצמם והן מצד רשויות המדינה כלפי האזרח.ה. רפורמה במערכות אכיפת החוק והגברת הפיקוח על מערכת המשפט והפרקליטות.ו. צמצום מעורבות המדינה בכלכלה.ז. רפורמה בשירותים הממשלתיים לאזרח והתאמתם לעידן ההייטק.ח. חשיבה אקולוגית לטווח ארוך.ט. הקניית ערכי סובלנות ושפה בריאה במערכת החינוך.י. החזרת כח לאזרחים. הקמת מוסד משאל עם.
יש עתיד – בראשות יאיר לפיד,1. לבנות ולחזק את המרכז הציוני-ליברלי ככלי מרכזי לשימור מדינת ישראל כמדינה יהודית ודמוקרטית.2. לבנות את המפלגה כמפלגת שלטון בעלת תודעה היסטורית ומחויבות לאומית עמוקה.3. להגן על מערכת האיזונים והבלמים ההכרחית לקיומה של מדינת הלאום. לתת שיוויון זכויות אזרחי לכל תושב במדינה ולהתייצב מול כל קיצוניות.4. לשמור על זהותה היהודית של ישראל. ולהתנגד לכל כפיה. להיות מרכז רוחני ליהדות העולם.5. לחתור לשלום עם שכנינו. ובעיקר לשלום בתוכנו בין כל השבטים. העדות. הזרמים והדתות המרכיבים את החברה הישראלית.6. לחזק את שלטון החוק בישראל ולהילחם נגד כל תופעה של שחיתות שלטונית ונגד כל איום על מערכת המשפט הישראלית.7. להביא את ברכת הקידמה לישראל. לשמור ולקדם את ישראל כמדינה טכנולוגית. מתקדמת ומובילה עולמית בתחומי החדשנות.8. להעניק לכל ילד בישראל הזדמנות למצות את מלוא הפוטנציאל שלו ולפעול לצמצום הפערים בחברה הישראלית.שינוי מטרות המפלגה מיום 6.1.2022.
ישראל חופשית דמוקרטית בראשות אלי אבידר,א. שמירה נחושה ומתמדת על מדינת ישראל דמוקרטית. חופשית. שיוויונית ועל כבוד האדם וחירותו. ברוח מגילת העצמאות.ב. חתירה ושאיפה מתמדת לשלום מכובד ובר קיימא עם שכנינו.ג. קיום שיוויוני ומשותף בין כל קבוצות האוכלוסיה במדינת ישראל ללא הבדל דת. מין. גזע. אמונה ומגדר. ד. חיזוק העצמת וביצור מעמדה של הכנסת. כנציגת הריבון. האזרחים. באמצעות שמירה על אוטונומיה. הפרדת רשויות ומתן סמכויות רחבות לביקורת שימוע וזימון בפניה להבטחת תקינות פעולתה של הממשלה. הרשויות. וגופים בעלי השפעה ציבורית. ה. קיום שקיפות ושיתוף מלא לגבי תהליכים. מידע והחלטות המדינה ורשויותיה. ושיתופו. עם הריבון במשטר הדמוקרטי. האזרח.ו. שמירה על טוהר המידות ודרישה לדיווח אמת מנבחרי ציבור. מעובדי ציבור ובמרחב הציבורי.ז. מאבק נחוש וחסר פשרות בשחיתות השלטונית.ח. חקיקת חוקה למדינת ישראל יהודית דמוקרטית ליברלית בתוך עשור. שתעגן ותבצר את חירויות וזכויות הפרט. שוויון. צדק חברתי וערבות הדדית. הגנה על כבוד האדם וחירותו ויצירת מנגנונים לשיתוף האזרחים בעיצוב חייהם ועתידם.ט. הבטחת קיום בכבוד. חופשי מחרדות קיומיות. לבעלי מוגבלויות. מבוגרים. ומשפחות נזקקות.י. מאבק רב זרועי. רב מימדי. מתמשך ונחוש בארגוני פשע.יא. הגנה אקטיבית על איכות הסביבה וטיפול במשבר האקלים ומדיניות דאגה למען הדורות הבאים. עידוד מעבר לתזונה מתקדמת ירוקה ובריאה.
יש תקוה – חברי פועלי אגודת ישראל ואנשי חסד שומרי תורה,מטרות המפלגה:1.לארגן את היהודים הנאמנים ל-ה ותורתו ולפתור ברוח התורה והמסורת את כל השאלות אשר תעלינה יום יום על הפרק בחיי כלל ישראל. בשאיפה לאחד את עם ישראל בארץ ישראל. תחת שלטון התורה ולבסס את שלטון התורה בחיים הרוחניים. הכלכליים. האזרחיים והמדיניים בארץ ישראל.2.לקדם את ענייני ומטרות המפלגה וחבריה.
ישר,מטרות המפלגה: (1) קידום עקרונות הליבה של מדינת ישראל. כפי שנקבעו במגילת העצמאות. והם:א. מדינת ישראל תהא מושתתת על יסודות החירות. הצדק והשלום לאור חזונם של נביאי ישראל;ב.  תקיים שוויון זכויות חברתי ומדיני גמור לכל אזרחיה בלי הבדל דת. גזע ומין;ג.  תבטיח חופש דת. מצפון. לשון. חינוך ותרבות;ד.  תשקוד על פיתוח הארץ לטובת כל תושביה;ה. תושיט יד שלום ושכנות טובה לכל המדינות השכנות ועמיהן. ותהיה  מוכנה לתרום את חלקה במאמץ משותף לקידמת המזרח התיכון כולו; ו. תהא פתוחה לעליה יהודית ולקיבוץ גלויות;ז.  תשמור על המקומות הקדושים של כל הדתות;ח.  ותהיה נאמנה לעקרונותיה של מגילת האומות המאוחדות.(2) קידום תפיסת עולם הומניסטית. ליברלית ודמוקרטית. המושתתת על אמפתיה ואחריות פעילה וכן על ערכי ליבה של שוויון. חופש. מימוש עצמי. הגינות. גישה שוויונית למשאבים והזדמנויות וקהילתיות.(3) ייצוג תושבי הפריפריות והשכבות המוחלשות בישראל. בדרך של שינוי סדרי עדיפויות. צמצום פערים חברתיים-כלכליים ויצירת מקורות מימון שיבטיחו זאת. ובדרך המאפשרת לציבורים שונים בתוך המדינה לפתח את זהותם.(4) בניית מערכת פוליטית דמוקרטית חדשה. המייצגת בצורה אמינה ואפקטיבית את כלל ציבור האזרחים והאינטרסים שלו.(5) השתתפות של כלל חברי המפלגה בהליכים הדמוקרטיים לקבלת החלטות: הצעת החלטות. דיונים. והצבעות על הנושאים החשובים העולים לדיון במליאת הכנסת ובממשלה ובוועדותיהן. או מועלים על ידי החברים עצמם - בין היתר באמצעות יישומון (אפליקציה).   (6) שינוי הדרגתי בדרכי הפעולה של מפלגות נוספות. ובסופו של דבר של הכנסת כולה. על ידי עידוד מנגנוני הייצוג הקיימים והפיכתם לדמוקרטיים ושקופים יותר. כדי שייצגו  באמינות וביעילות את כלל הציבור.(7) לשמש דוגמא ומופת של מנגנון פוליטי אופטימלי עבור אזרחי ישראל. המערכת הפוליטית הישראלית ומערכות דמוקרטיות בעולם.
ישראל אחרת,מטרות המפלגה:1.קביעת סדר עדיפות חדש בחברה הישראלית.2.ייצוב וייעול מערכות השלטון בישראל באופן המעמיד את האזרח במוקד עשייתן.3.פיתוח דור העתיד תוך השקעה מסיבית בחינוך.4.גבולות מוגדרים ובטוחים למדינה למען חיים בשלום עם שכנינו.
